ar,cz,norm,cat_id,root_id,stem,stem_vowel,plural,masdar,val,transcription,meaning_variant,synonyms_ids,tags_ids,examples_ids,source_ids,disabled
داخل,uvnitř,,[6],242,,,,,,dāḫila,,,,,[17],false
مدرّب,trenér,,[9],453,,,,,,mudarribun,,,,,[17],false
درجة مئوية,stupneň Celsia,,[9],337,,,,,,daraǧatun miʾawījatun,,,,,[17],false
دَعَمَ (ـَ) دَعْمٌ,podporovat,,[7],256,[7],,,,,daʿama,,,,,[17],false
"دقيقة , دقائق",minuta,,[9],454,,,,,,"daqīqatun, daqāʾiqu",,,,,[17],false
دَوْرَةٌ (ات),"kurz, školení (1); cyklus, okruh, průběh (2)",,[9],182,,,,,,dawratun (dawarātun),,,[50],,"[17,20,21]",false
مربَّعٌ,čtvereční,,[1],356,,,,,,murabbaʿun,,,,,"[17,20]",false
"ترتيب ,ات",pořadí,,[9],455,,,,,,tartībun,,,,,[17],false
"رصيد , أرصدة","zisk, jmění",,[9],456,,,,,,"raṣīdun, arṣidatun",,,[48],,"[1,17]",false
رِيَاضي,"sportovec (1), sportovní (2)",,"[1,9]",260,,,,,,rijāḍījun,,,"[60,70]",,"[17,20]",false
زواج,sňatek,,[9],376,,,,,,zawāǧun,,,,,[17],false
زاد (ـِ) زيادة,"růst, zvyšovat se (+ 3alá/3an = přesahovat, převyšovat)",,[7],457,[7],,,,,zāda (jazīdu) zijādatun,,,"[5,67]",,[17],false
زائد,plus,,[9],457,,,,,,zāʾidun,,,,,[17],false
سابقٌ,"předchozí, dřívější",,[1],458,,,,,,sābiqun,,,[48],,"[1,17,20]",false
مُسَابَقة,soutěž,,[9],458,,,,,,musābaqatun,,,"[50,70]",,"[17,20]",false
سُرعة,rychlost,,[9],140,,,,,,surʿatun,,,[50],,"[17,20]",false
شهد (ـَ),zažít; být svědkem (něčeho),,[7],314,[7],,,,هـ,šahida (jašhadu),,,[35],,"[17,23]",false
صَرَّحَ,prohlásit (bico),,[7],408,[4],,,,بـ,ṣarraḥa,,,[48],,"[1,17,20]",false
صَفْحَةٌ,stránka (list v knize),,[9],459,,,,,,ṣafḥatun,,,[29],,"[17,20]",false
