ar,cz,norm,cat_id,root_id,stem,stem_vowel,plural,masdar,val,transcription,meaning_variant,synonyms_ids,tags_ids,examples_ids,source_ids,disabled
أولمبياد,Olympiáda,,,87,,,,,,,,,[70],,[20],false
إيطاليا,Itálie,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
بريطانيا,Británie,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
بكين,Peking,,,87,,,,,,,,,"[22,40]",,[20],false
تايلاند,Thajsko,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
الجازائر,Alžírsko,,,526,,,,,,,,,"[18,22,71,74]",,[20],false
جمهورية جنوب إفريقيا,JAR,,,527,,,,,,,,,"[18,22,71,74]",,[20],false
روسيا,Rusko,,,362,,,,,,,,,"[18,22,71,74]",,[20],false
سيدني,Sydney,,,362,,,,,,,,,"[22,40]",,[20],false
غرينيتش,Greenwich,,,362,,,,,,,,,"[22,40]",,[20],false
فرنسا,Francie,,,362,,,,,,,,,"[18,22,71,74]",,[20],false
كندا,Kanada,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
كوريا,Korea,,,362,,,,,,,,,"[18,22,71,74]",,[20],false
الولايةُ المتحدةُ,Spojené Státy,,,528,,,,,,,,,"[18,22,71,74]",,[20],false
اليابان,Japonsko,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
اليونان,Řecko,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
دمَّر,zničit,,[7],529,[4],,,,هـ,dammara,,,[48],,"[1,20,23]",false
ضِفَّة (ضِفَافٌ),břeh,,[9],530,,,,,,,,,,,[20],false
فَقِيرٌ (فُقَرَاءُ),"chudý, chuďas",,,416,,,,,,,,,[33],,[20],false
حَدٌّ (حُدُودٌ),hranice,,,359,,,,,,,,,[22],,[20],false
عالمُ الآثارِ,archeolog,,,97,,,,,,,,,[60],,[20],false
ثَوْرَةٌ (ات),revoluce,,,447,,,,,,,,,[50],,[20],false
على بُعْدِ,ve vzdálenosti (od),,"[2,6]",3,,,,,من,ʿalā buʿdi min,,,,,[20],false
حَسَبَ,podle,,[6],531,,,,,,ḥasaba,,,,,"[6,20]",false
قُرنٌ (قُرُونٌ),století (1); roh (2),,[9],342,,,,,,qarnun qurūnun,,,[86],,"[20,23]",false
تَأْثِيرٌ (ات),vliv,,[9],1,,,,,,taʾṯīrun,,,,,[18],false
من أَجْل,"pro, za, kvůli",,[6],292,,,,,,min aǧli,,,,,[18],false
إستوديو,studio,,[9],87,,,,,,istūdijū,,,[17],,[18],false
أُسْرَةٌ (أُسَرٌ),"rodina (1) ; rod, dynastie (2)",,[9],343,,,,,,usratun usarun,,,,,[18],false
إسرائيل,Izrael,,[9],95,,,,,,Isrāʾīlu,,,"[18,74]",,[18],false
إِطَارٌ (أُطُرٌ),rámec,,[9],90,,,,,,iṭārun (uṭurun),,,,,[18],false
أَمَّمَ,znárodnit,,[7],418,[4],,,,,ammama,,,"[6,4,67]",,[18],false
تأميم,znárodnění,,[9],418,,,,,,taʾmīmun,,,,,"[1,18]",false
أمل,naděje,,[9],532,,,,,,amalun (āmālun),,,,,[18],false
أمن,bezpečnost,,[9],172,,,,,,amnun,,,,,[18],false
أولوية,priorita,,[9],2,,,,,,awlawījatun,,,,,[18],false
مَبْدَأٌ (مَبَادِئُ),"zásada, princip",,[9],120,,,,,,mabdaʾun mabādiʾu,,,[15],,"[18,21,29]",false
مبادرة,iniciativa,,[9],533,,,,,,mubādaratun,,,,,"[1,18]",false
بِنْيَةٌ (بِنىً),struktura,,[9],114,,,,,,binjatun (binan),,,,,"[1,18]",false
بينما,zatímco,,[8],174,,,,,,bajnamā,,,,,[18],false
تكنولوجيا,technologie,,[9],87,,,,,,tiknūlūǧijā,,,,,[18],false
تَمَّ (ـِ),"být dokončen, proveden; s masdarem opis trpného rodu",,[7],366,[7],,,,,tamma,,,[4],,[18],false
إتمام,dokončení,,[9],366,[5],,,,,itmāmun,,,[19],,[18],false
جزءٌ,"část, díl",,[9],534,,,,,,ǧuzʾun (aǧzāʾun),,,,,[18],false
مُجْتَمَعٌ,společnost,,[9],177,,,,,,muǧtamaʿun (-ātun),,,,,[18],false
جِهَازٌ (أَجْهِزَةٌ),přístroj,,[9],132,,,,,,ǧihāzun (aǧhizatun),,,,,[18],false
مجال,"oblast, prostor, pole působení",,[9],535,,,,,-,maǧālun (-ātun),,,,,[18],false
حَدَّثَ,vyprávět (komu o),,[7],133,[4],,,,ه عن,ḥaddaṯa,,,,,"[18,20]",false
حِفَاظٌ,"zachování, udržení",,[9],389,,,,,على,ḥifāẓun ʿalā,,,,,[18],false
حكومة,vláda,,[9],180,,,,,,ḥukūmatun,,,[35],,[18],false
حَوَلَى,"asi, zhruba",,[3],78,,,,,,,,,,,[18],false
بِحَيْثُ,"takže, a tedy",,[8],10,,,,,,biḥajṯu,,,,,"[18,20]",false
إِخْبَارِيٌّ,zpravodajský,,[1],54,,,,,,iḫbārījun,,,,,[18],false
خطوة,krok,,[9],536,,,,,,ḫaṭwatun,,,,,[18],false
دكتوراه,doktorát,,[9],87,,,,,,duktūrāh,,,,,[18],false
رسالة الدكتوراه,disertační práce,,,363,,,,,,risālatu -d-duktūrāh,,,"[63,89]",,[18],false
أدنى,"blízký, přední",,[1],537,,,,,,adnā,,,,,[18],false
الشَرْقُ الأَدْنَى,Přední východ,,,47,,,,,,aš-šarqu al-adnā,,,"[18,74]",,[18],false
دنيا,svět (pozemský),,[9],537,,,,,,dunjā,,,,,[18],false
دائم,"stálý, trvalý",,[1],538,,,,,,dāʾimun,,,,,[18],false
يرى أن,"domnívá se, že",,[5],539,,,,,,jarā anna,,,[63],,[18],false
رَجَاءٌ,prosba,,[9],540,,,,,,raǧāʾun,,,"[48,50]",,"[1,18,20]",false
مُرَكِّزٌ,"zaměřený, orientovaný (na)",,[1],520,,,,,في,murakkizun,,,,,[18],false
تَرْمِيمٌ,rekonstrukce,,[9],541,,,,,,tarmīmun,,,,,[18],false
رَامٍ,směřující (k),,[1],542,,,,,إلى,rāmin ilā,,,,,[18],false
رُوحٌ (أَرْوَاحٌ),duch,,[9],307,,,,,,rūḥun (arwāḥun),,,,,[18],false
سَدٌّ (سُدُودٌ),přehrada,,[9],543,,,,,,saddun (sudūdun),,,,,[18],false
السَدُّ العَالِيُّ,Asuánská přehrada,,,543,,,,,,as-sadda al-ʿālī,,,"[18,74]",,[18],false
أسْعَدَ,potěšit,,[7],107,[5],,,,,asʿada,,,[48],,"[1,18,20]",false
مسلسل,seriál,,[9],544,,,,,,musalsalun (-ātun),,,,,[18],false
سِلْعَةٌ (سِلْعٌ),zboží,,[9],545,,,,,,silʿatun (silʿun),,,[48],,"[1,18]",false
سِلْمِيٌّ,mírový,,[1],441,,,,,,silmījun,,,,,[18],false
سلام,mír,,[9],441,,,,,,salāmun,,,,,[18],false
مُسَاهَمَةٌ,"podíl, účast na",,[9],546,,,,,في,musāhamatun,,,[48],,"[1,18]",false
تسوق,nakupování,,[9],494,,,,,,tasawwuqun,,,[19],,[18],false
لا سيما,"zejména, především",,[2],547,,,,,,lā sijjamā,,,,,"[1,18]",false
شَجَّعَ,povzbuzovat někoho k něčemu; fandit,,[7],548,[4],,,,ه على,šaǧǧaʿa -hu ʿalā,,,,,"[1,18,21]",false
اشتراكية,socialismus,,[9],392,,,,,,ištirākījatun,,,,,[18],false
لا شك أن,"není pochyb (o tom), že...",,[5],549,,,,,,lā šakka (fī) anna...,,,[63],,[18],false
تشييد,vybudování,,[9],550,,,,,,tašjīdun,,,,,[18],false
صَحَّحَ,"opravit (např. text), zkorigovat",,[7],36,[4],,,,هـ,ṣaḥḥaḥa,,,[4],,[18],false
مصادرة,"zabavení, exekuce, konfiskace",,[9],42,,,,,,muṣādaratun,,,[48],,"[1,18]",false
صعيد,"plocha, rovina",,[9],278,,,,,,ṣaʿīdun (ṣuʿudun),,,[48],,"[1,18]",false
على صعيد,na úrovni,,[2],278,,,,,,ʿalā ṣaʿīdin,,,[48],,"[1,18]",false
صَلَّحَ,"opravit (technicky, např. stroj)",,[7],551,[4],,,,,ṣallaḥa,,,,,"[18,20]",false
إصْلَاحٌ (ات),reforma,,[9],551,,,,,,iṣlāḥun,,,"[15,19]",,[18],false
إستصلاح,"zúrodnění, obdělávání",,[9],551,,,,,,istiṣlāḥun,,,,,[18],false
صورة,způsob,,[9],99,,,,,,ṣūratun,,,,,[18],false
بِصُورَةٍ مُمْتَازَةٍ,výborně,,"[2,5]",552,,,,,,biṣūratin mumtāzatin,,,,,"[18,20]",false
من الضروري,"je třeba, je nutné",,[5],553,,,,,,min aḍ-ḍarūrīji,,,[63],,[18],false
طَبَّقَ,"uplatnit, garantovat (1); aplikovat (něco na) (2)",,[7],554,[4],,,,هـ على,ṭabbaqa,,,[48],,"[1,18,21]",false
بِطَرِيقَةٍ سِلْمِيَّةٍ,mírovou cestou,,[2],555,,,,,,bi-ṭarīqatin silmijatin,,,[35],,[18],false
تطوُّر/تطوِير,"vývoj, rozvoj",,[9],556,,,,,ات,,,,,,[18],false
طيب,"dobrý, laskavý, příjemný",,[1],557,,,,,,ṭajjibun,,,,,[18],false
عَبَّرَ,vyjádřit (co),,[7],394,[4],,,,عن,ʿabbara,,,,,[18],false
عدالة,spravedlnost,,[9],462,,,,,,ʿadālatun,,,,,[18],false
عادل,spravedlivý,,[1],462,,,,,,ʿādilun,,,,,[18],false
تعزيز,upevnění,,[9],558,,,,,,taʿzīzun,,,[48],,"[1,18]",false
تَعَطَّلَ,"rozbít se, porouchat se",,[7],360,[11],,,,,taʿaṭṭala,,,[48],,"[1,18,20]",false
عولمة,globalizace,,[9],97,,,,,,ʿawlamatun,,,,,[18],false
معاهدة,smlouva,,[9],75,,,,,,muʿāhadatun,,,"[35,46,48]",,"[1,18]",false
تعويض,náhrada,,[9],113,,,,,,taʿwīḍun (-ātun),,,"[32,48]",,"[1,18]",false
عين,oko,,[9],559,,,,,,ʿajnun (ʿujūnun),,,,,[18],false
غذائي,poravinový,,[1],560,,,,,,ġidhāʾīju,,,[35],,[18],false
انفتاح,"liberalizace, politika otevřených dveří (1) ; otevřenost (2)",,[9],197,,,,,,infitāḥun,,,[35],,"[12,18]",false
"فَدَّانٌ (أَفْدِنَةٌ, فَدَادِينُ)",feddán (cca 4200 m2),,[9],561,,,,,,"faddānun (fadādīnu, afdinatun)",,,,,[18],false
من المفروض أنْ,"mít něco za něco; předpokládat, že něco je nějak; be supposed to; je třeba, aby (?)",,[5],562,,,,,,min al-mafrūḍi an...,,,[63],,"[18,21]",false
القران الكريم,Korán,,[9],60,,,,,,al-qurʾānu al-karīmu,,,,,[18],false
عن قريب,"brzy, blízko (časově)",,[2],499,,,,,,ʿan qarībin,,,,,[18],false
اِقْتِصَادٌ,"ekonomika, hospodářství",,[9],518,,,,,,iqtiṣādun,,,,,"[18,20]",false
إقليمي,"regionální, teritoriální",,[1],563,,,,,,iqlīmījun,,,[35],,[18],false
يَجِبُ القَوْلُ إِنَّ,"je třeba říci, že",,[5],109,,,,,,jaǧibu -l-qawlu inna...,,,[63],,[18],false
إِقَامَةٌ {2},nastolení,,[9],73,,,,,,iqāmatun,,,,,[18],false
أكْرَمَ,"uctít, poctít",,[7],564,[5],,,,,akrama,,,[48],,"[1,18,20]",false
كَلَّفَ,stát peníze (koho),,[7],565,[4],,,,ه,kallafa,,,[48],,"[1,18,20]",false
كَلَّمَ,"hovořit, mluvit (s)",,[7],566,[4],,,,ه,kallama,,,,,[18],false
كلي,celkový,,[1],287,,,,,,kullījun,,,,,[18],false
ملحوظ,"význačný, významný",,[1],157,,,,,,malḥūẓun,,,,,[18],false
ليبرالية,liberalismus,,[9],87,,,,,,lībirālījatun,,,,,[18],false
ماجستير,magisterský titul,,[9],87,,,,,,māǧistīrun,,,,,[18],false
رسالة المجستير,diplomka,,,363,,,,,,risālatu -l-maǧistīri,,,[35],,[18],false
مَثَّلَ,představovat,,[7],417,[4],,,,,maṯṯala,,,,,"[18,20]",false
مما,což,,[10],95,,,,,,mimmā,,,,,[18],false
موسيقى,hudba,,[9],87,,,,,,mūsīqā,,,,,[18],false
تمويل,financování,,[9],160,,,,,,tamwīlun,,,,,[18],false
ميونخ,Mnichov,,[9],95,,,,,,mjūniḫ,,,"[18,74]",,[18],false
نجم,hvězda,,[9],491,,,,,,naǧmun (nuǧūmun),,,[48],,"[1,18]",false
نزاع,konflikt,,[9],567,,,,,,nizāʿun (-ātun),,,,,[18],false
منزلي,domácí,,[1],25,,,,,,manzilījun,,,,,[18],false
نشر,"uveřejnění, publikování",,[9],207,,,,,,našrun,,,,,[18],false
ناضل,bojovat,,[7],568,[3],,,,,nāḍala,,,[48],,"[1,18]",false
بصرف النظر عن,nehledě na,,[5],209,,,,,,biṣarfi -n-naẓari ʿan,,,[35],,[18],false
تنظيم,organizování,,[9],98,,,,,,tanẓīmun,,,[19],,[18],false
تنظيم الاسرة,plánované rodičovství,,,98,,,,,,tanẓīmu -l-asrati,,,[35],,[18],false
نَاقِدٌ (نُقَّادٌ),kritik,,[9],228,,,,,,nāqidun (nuqqādun),,,,,"[1,18]",false
مناقشة,"diskuse, obhajoba (práce)",,[9],569,,,,,,munāqašatun,,,,,[18],false
نهضة,"renesance, obrození",,[9],163,,,,,,nahḍatun,,,,,[18],false
نُورٌ (أَنْوَارٌ),světlo,,[9],347,,,,,,nūrun (anwārun),,,,,[18],false
هذا و,uvození nového odstavce,,[8],167,,,,,,hādhā wa,,,,,[18],false
توزيع,"rozdělení, distribuce",,[9],570,,,,,,tawzīʿun,,,,,[18],false
وضع,vypracování,,[9],62,,,,,,waḍʿun,,,,,[18],false
وَفَاةٌ (وَفَيَاتٌ),úmrtí,,[9],571,,,,,,wafātun (wafajātun),,,,,[18],false
في أيام,"během, za (doby)",,[8],103,,,,,,fī ajjāmi,,,[69],,[18],false
اليونسكو,UNESCO,,[9],87,,,,,,al-jūniskū,,,,,[18],false
عرَّف,"seznámit někoho (s) (udělat, aby někdo něco věděl)",,[7],29,[4],,,,ه على/بـ,ʿarrafa,,,[48],,"[1,20,23]",false
تَصَاعَدَ,"stoupat (vzhůru, postupně) VI.",,[7],278,[10],,,,,jde to po teḫ urovniḫ,,,,,[20],false
انقطع,"přerušit se, být přerušen",,[7],572,[9],,,,,,,,,,[20],false
اِنْطَلَقَ,"vyrazit, vydat se na cestu",,[7],437,[9],,,,,,,,,,[20],false
اشترى (شِراء),koupit něco,,[7],573,[8],,,,هــ,ištarā jaštarī širāʾun,,,[67],,[20],false
حاتف (حواتف),telefon,,,574,,,,,,,,,"[35,73]",,[20],false
حقيبة,"taška (ale ne igelitka, lepší)",,,575,,,,,,,,,[50],,[20],false
مَدَنِيٌّ,"civilista, civilní",,[1],576,,,,,,,,,,,[20],false
جَارٌ (جِيرَانٌ),soused,,,577,,,,,,,,,[33],,[20],false
تَيَّارٌ (ات),"proud (i hudební, všeobecné použití)",,,578,,,,,,,,,"[48,50]",,"[1,20]",false
صَلِيبِيٌّ (صُلْبانُ),"křižák, křížový (výpravy...)",,,579,,,,,,,,,"[24,48]",,"[1,20]",false
مَطْلَبٌ (مطالب),požadavky,,,59,,,,,,,,,[50],,[20],false
كشكُ اعترافٍ,zpovědnice,,,321,,,,,,,,,"[63,68]",,[20],false
هنديٌّ (هنود),ind,,,580,,,,,,,,,"[18,71,74]",,[20],false
كَهْرَبَائِيٌّ,"elektrický, elektrikář",,[1],581,,,,,,kahrabāʾī,,,[60],,[20],false
بَعْدَ أنْ,"poté, co... (v minulosti)",,"[5,8]",3,,,,,+ perfektum,baʿda an + perfektum,,,,,"[20,21]",false
بعد أنْ,"poté, co (v budoucnosti)",,[8],3,,,,,+ subjunktiv,,,,,,[20],false
أحياناً,někdy,,[2],300,,,,,,,,,[87],,[20],false
في غَالِبِ الأحيانِ,většinou,,[2],300,,,,,,,,,"[48,63]",,"[1,20]",false
في أيِّ حال من الأحوال,v žádném případě,,[5],78,,,,,,,,,[63],,[20],false
اقتصاديٌّ,"ekonomický, hospodářský",,[1],518,,,,,,,,,,,[20],false
غسّالة (ات),"pračka, myčka, pradlena",,,506,,,,,,,,,[60],,[20],false
لِيمُونَاتٍ,limonáda,,,87,,,,,,,,,[28],,[20],false
كرسيٌّ (كراسٍ),židle,,,267,,,,,,,,,"[44,48]",,"[1,20]",false
عِلْبَةٌ (عِلَبٌ),plechovka,,,582,,,,,,,,,"[32,62]",,[20],false
خِرِّيجٌ (ون),absolvent univerzity,,[9],53,,,,,,ḫirrīǧun (-ūna),,,"[33,89]",,"[14,20,23]",false
نِسْفٌ,polovina,,,583,,,,,,,,,[50],,[20],false
حَاكِمٌ (حُكّامٌ),vládce,,,180,,,,,,,,,[33],,[20],false
غَنِيٌّ,"bohatý, majetný, zaopatřený",,[1],584,,,,,,,,,,,[20],false
سِيجَارٌ,cigareta,,,87,,,,,,,,,[62],,[20],false
نَبِيذٌ,víno,,,585,,,,,,,,,[28],,[20],false
مَعْجَبَةٌ,"""""""člověk, libující si v něčem"""", milovník""",,,148,,,,,,,,,[33],,[20],false
فَرْدٌ (أفرادٌ) {1},člen (rodiny),,,482,,,,,العائلة,,,,[65],,[20],false
حَبَّ (ـِ) حُبٌّ,"milovat, mít rád",,[7],586,[7],,,,,ḥabba jaḥibbu ḥubbun,,,[4],,[20],false
حُبٌّ,láska,,,586,,,,,,,,,[65],حُبًّا فِي z lásky k,[20],false
حِبٌّ (أَحْبَابٌ),"miláček, drahý/á",,,586,,,,,,,,,[65],,[20],false
حضَّر,"připravit, přichystat",,[7],9,[4],,,,,ḥaḍḍara,,,[48],,"[1,18,20]",false
حَاوَلَ,snažit se,,[7],78,[3],,,,,,,,"[5,48,67]",,"[1,20]",false
أخْرَجَ {2},režírovat,,[7],53,[5],,,,,aḫraǧa,,,,,"[18,20]",false
أَصْبَحَ (2),začít (něco dělat),,[7],522,[5],,,,+ imperfektum,aṣbaḥa,,,[48],أَصْبَحَ يَتَجَنَّبُ لِقَاءَهُ začít se vyhýbat (komu),"[1,18,20]",false
ثَمَنٌ (أثمان),"hodnota, cena",,[9],365,,,,,,ṯamanun aṯmānun,,,[50],,"[18,20]",false
خِدْمَةٌ,služba,,,369,,,,,,,,,"[48,50]",,"[1,20]",false
خَطَأٌ (أخطاءٌ),chyba,,[9],587,,,,,,ḫaṭaʾun (aḫṭāʾun),,,[50],,"[18,20]",false
"مَشْرُوعٌ (ات, مَشَارِيعُ)",projekt,,,391,,,,,,,,,[46],,[20],false
نَدْوَةٌ,beseda,,[9],249,,,,,,nadwatun,,,[50],,"[18,20]",false
وَاحَةٌ,oáza,,[9],588,,,,,,wāḥatun,,,[50],,"[18,20]",false
بِالتَّأكِيدِ,"jistě, jistěže, ovšem",,[5],293,,,,,,,,,,,[20],false
من الأفضل أنْ ...,"bude lépe, když...; raději ...",,[5],386,,,,,+ subjunktiv,min al-afḍali an...,,,[63],,"[18,20]",false
بِنَفْسِ,"""sám (zdůraznění), """"na vlastní duši""""""",,"[2,5]",289,,,,,+ zájmenný sufix,,,,,,[20],false
مِسَاحَةٌ,"povrch (1), oblast (2), rozloha (3)",,[9],285,,,,,,"misāḥatun, masāḥatun",,,"[22,48,50]",,"[1,17,20]",false
صِفْرٌ,nula,,[4],511,,,,,,,,,,,[20],false
تحت سطح البحر,pod mořskou hladinou,,,377,,,,,,,,,"[63,68]",,[20],false
فَوْقَ سطح البحر,nad mořskou hladinou,,,589,,,,,,,,,"[63,68]",,[20],false
عُضْوٌ في,členství v,,,254,,,,,,,,,[50],,[20],false
المَوْقِعُ الجِغْرَافِي,geografická poloha,,,213,,,,,,,,,[22],,[20],false
عاصمة (عَوَاصِمٌ),hlavní město,,,590,,,,,,,,,[22],,[20],false
طولُ الشاطئِ,délka pobřeží,,,591,,,,,,,,,[22],,[20],false
أخفضُ نقطةٍ,nejnižší bod,,,592,,,,,,,,,[22],,[20],false
أعلى نقطة,nejvyšší bod,,,592,,,,,,,,,[22],,[20],false
اللغة الرسمية,úřední jazyk,,,593,,,,,,,,,[22],,[20],false
عدد السكان,počet obyvatel,,,290,,,,,,,,,[22],,[20],false
لَبَسَ (ـُ) لَبْسٌ,obléci si (co) (1); mít oblečení (2),,[7],594,[7],,,,هـ,,,,[45],,[20],false
"طار (ـِـ, طَيْرَانٌ)","letět (samo o sobě), člověk vždy létá letadlem!",,[7],90,[7],,,,,,,,"[5,67]",,[20],false
"نَقَلَ (ـُـ, نَقْلٌ) {1}","přenést, transportovat",,[7],92,[7],,,,,,,,,,[20],false
"قَطَعَ (ـَـ, قطعٌ)","urazit (vzdálenost), uříznout, useknout něco",,[7],572,[7],,,,هــ,,,,,,[20],false
تأخَّر,"opozdit se, zpozdit se, zdržet se (někde), mít zpoždění V.",,[7],171,[11],,,,,taʾaḫḫara,,,"[6,67]",,"[19,20]",false
بُعْدٌ (أبعَادٌ),"vzdálenost, rozměr",,,3,,,,,,,,,[50],,[20],false
مُسَافقة (ات),vzdálenost,,,595,,,,,,,,,[50],,[20],false
اِرْتِفاع,"výška; pozvednutí, vyvýšení",,,502,,,,,(على),,,,"[48,50]",,"[1,20]",false
مِعْطَفٌ (مَعَاطِفُ),"kabát, plášť, svrchník",,,596,,,,,,miʿṭafun maʿāṭifu,,,[45],,[20],false
بَنْطَلُون (ات),kalhoty,,,95,,,,,,,,,"[17,45]",,[20],false
قُبَّعَة (ات),čepice,,,597,,,,,,,,,"[35,45]",,[20],false
سِرْوَالٌ (سَرَاوِلُ),kalhoty,,,87,,,,,,,,,[45],,[20],false
فَرِيقٌ (فِرْقٌ),"tým (sportovní, odborný), pracovní skupina",,[9],598,,,,,,farīqun (firaqun),,,"[35,48,70]",,"[1,6,20]",false
حَفْرِيَّةٌ (ات),vykopávka,,,599,,,,,,,,,[24],,[20],false
شُرْطَةٌ,policie,,,600,,,,,,,,,[46],,[20],false
بَائِعٌ,prodavač,,,116,,,,,,,,,"[48,60]",,"[1,20]",false
قُماشٌ (أقْمِشة),látka (textilie),,,601,,,,,,,,,"[35,37]",,[20],false
أزمة (ات),krize,,,602,,,,,,azmatun,,,[77],,"[20,21]",false
جُنَيْهُ,Libra,,,95,,,,,,,,,"[17,53]",,[20],false
حَرِيرِيٌّ,hedvábný,,[1],134,,,,,,,,,"[37,48]",,"[1,20]",false
رَغْمَ أنَّ,"přestože, ačkoli",,[8],603,,,,,,,,,,,"[20,23]",false
خَلْفٌ (خلوفٌ),za (zadní),,[6],14,,,,,,,,,,,[20],false
جماعة (ات),skupina (může evokovat teroristické skupiny apod.),,,177,,,,,,ǧamāʿatun,,,"[33,35]",,"[20,23]",false
مَجْمُوعَة (ات),"skupina (zcela neutrální kontext) (1); sbírka, kolekce (2)",,[9],177,,,,,,maǧmūʿatun,,,"[33,50]",,"[19,20]",false
"عَقَدَ (ـِـ, عَقْدٌ) {1}","uspořádat, svolat (zasedání, schůzi, konferenci)",,[7],463,[7],,,,ٱلْجَلْسَةَ,ʿaqada,,,[48],,"[1,20]",false
اختلف,"lišit se od, odlišovat se od",,[7],14,[8],,,,عن,,,,[35],,[20],false
اِسْتَيْقَظَ,"probudit se, vzbudit se",,[7],604,[12],,,,,istajqaẓa,,,"[6,67]",,"[9,20]",false
استشار,"konzultovat, radit se s někým o něcem X.",,[7],605,[12],,,,ه في,,,,"[48,67]",,"[1,20]",false
استخرج,"těžit (něco z), dobývat (něco z)",,[7],53,[12],,,,هـ من,istaḫraǧa,,,,,"[6,20]",false
استراح,odpočinout si od něčeho X.,,[7],307,[12],,,,من,,,,[67],,[20],false
حاسُوبٌ (ات),počítač,,,531,,,,,,,,,[73],,[20],false
بِضَاعَةٌ (بَضَائِعُ),zboží,,,606,,,,,,"biḍāʿatun, baḍāʾiʿu",,,[28],,"[12,20,21]",false
مُبَارَاةٌ (مُبَارَيَاتٌ),"zápas, střetnutí, utkání (sportovní)",,,607,,,,,,,,,"[48,70]",,"[1,20]",false
طَبعة (ات),vydání,,[9],191,,,,,,,,,[48],,"[1,20]",false
كمِّيَّة ضَخْمَةٌ من...,obrovské množství něčeho,,[5],608,,,,,,,,,,,[20],false
الغاز الطبيعيُّ,zemní plyn,,,87,,,,,,,,,[37],,[20],false
مَرّ (ـُ) مُرُورٌ,"procházet, projíždět (kolem něčeho, přes něco)",,[7],323,[7],,,,بـ,,,,[4],,"[20,23]",false
نوع (أنواع) من الـــ...,druh něčeho,,,164,,,,,,,,,[50],,[20],false
الموسيقى,"muzika, hudba",,,87,,,,,,,,,"[31,85]",,[20],false
محامٍ (مُحامونَ),"právník, advokát",,,609,,,,,,,,,[60],,[20],false
مُحتَلٌّ,okupovaný,,[1],450,,,,,,,,,,,[20],false
الحقيقة أنَّ,"pravdou je, že",,[5],243,,,,,,,,,,,[20],false
أداءٌ,"provedení (práce), vykonání (zkoušky)",,[9],610,,,,,,ʾadāʾun,,,[48],,"[1,19]",false
إِذَنْ,"tedy, nuže",,[5],611,,,,,,ʾiḏan,,,,,[19],false
أصليّ,"původní, originální",,[1],411,,,,,,ʾaṣlījun,,,,,[19],false
أكسفورد,Oxford,,[9],95,,,,,,ʾuskfūrd,,,[18],,[19],false
إنجلترا,Anglie,,[9],362,,,,,,ʾinǧiltirā,,,,,[19],false
"إنسان , ناس",člověk /lidé/,,[9],612,,,,,,"ʾinsānun, nāsun",,,,,[19],false
تبادل,vyměňovat si,,[7],613,[10],,,,,tabādala,,,,,[19],false
بيئة,(životní) prostředí,,[9],614,,,,,,bīʾatun,,,,,[19],false
بال,mysl,,[9],615,,,,,,bālun,,,,,[19],false
خطر ببالٍ,"přijít na mysl, napadnout",,[5],616,,,,,,ḫaṭara bibālin,,,[63],,[19],false
تابع,"náležející k, patřící",,[1],617,,,,,لــ,tābiʿun li-,,,,,[19],false
تجهيز,"vybavení (to, ze je neco vybaveno)",,[9],132,,,,,,taǧhīz,,,[48],,"[1,19]",false
مجهَّز,"vybavený, zařízený",,[1],132,,,,,,muǧahhazun,,,[48],,"[1,19]",false
حَجْزٌ,"objednání, rezervace",,[9],43,,,,,,ḥaǧzun,,,,,[19],false
تحرّك,"pohybovat se, počínat si",,[7],618,[11],,,,,taḥarraka,,,,,[19],false
الحاضر,přítomnost,,[9],9,,,,,,al-ḥāḍiru,,,,,[19],false
حَظَّ (حُظُوظٌ) {1},"štěstí (1) ; osud, sudba (2)",,[9],619,,,,,,"ḥaẓẓun, ḥuẓūẓun",,,,,[19],false
لحسن الحظ,naštěstí,,[2],619,,,,,,liḥusni-l-ḥaẓẓi,,,,,[19],false
حماية,ochrana,,[9],620,,,,,,ḥimājatun,,,,,[19],false
ﻫﻮ ﻓﻲ ﺣﺎﺟﺔ (ﻣﺎﺳﺔ) ﺇﻟﻰ,(naléhavě) potřebuje...,,[5],266,,,,,,huwa fī ḥāǧatin (māssatin) ilā...,,,[63],,[19],false
"مختبر , ات",laboratoř,,[9],54,,,,,,"muḫtabarun, muḫtabarātun",,,[48],,"[1,19]",false
تخرّج,absolvovat v,,[7],53,[11],,,,في,taḫarraǧa,,,,,[19],false
مختصّ,"specializovaný, příslušný",,[1],102,,,,,,muḫtaṣṣun,,,[48],,"[1,19]",false
"خطر (ـِ, ـُ)",přijít (na mysl),,[7],616,[7],,,,بـ,"ḫaṭara, juḫṭiru bi-",,,,,[19],false
خيّب,zmařit,,[7],621,[4],,,,,ḫajjaba,,,"[5,67]",,"[1,19]",false
خيّب آمالا,zklamat naděje,,"[5,7]",621,[4],,,,,ḫajjaba ālāman,,,[67],,[19],false
دَبَّرَ,"zařídit, zorganizovat, naplánovat",,[7],622,[4],,,,,dabbara,,,[48],,"[1,19]",false
تدرّب,"trénovat (co), procvičit se (v), zaškolit se (v)",,[7],453,[11],,,,على,tadarraba,,,,,[19],false
