origin,transcription,arabic
n-S-H,nṣḥ,نصح
n-Z-r,nẓr,نظر
h-m-m,hmm,همم
h-j-',hjʾ,هيء
w-f-q,wfq,وفق
w-q-3,wqʿ,وقع
w-k-l,wkl,وكل
w-s-T,wsṭ,وسط
3-Z-m,ʿẓm,عظم
dž-h-d,ǧhd,جهد
d-l-l,dll,دلل
n-m-dh-dž,nmḏǧ,نمذج
š-T-',šṭʾ,شطء
š-f-j,šfj,شفي
s-j-s,sjs,سيس
'-r-ch,ʾrḫ,ءرخ
k-l-j,klj,كلي
dh-k-r,ḏkr,ذكر
s-n-w,snw,سنو
3-j-m,ʿjm,عيم
n-q-d,nqd,نقد
fá,,
r-w-j,rwj,روي
dž-n-b,ǧnb,جنب
gh-r-b,ġrb,غرب
w-3-d,wʿd,وعد
m-j-D,mjḍ,ميض
r-'-3,rʾʿ,رءع
3-n-j,ʿnj,عني
š-gh-l,šġl,شغل
w-h-d,whd,وهد
3-l-q,ʿlq,علق
'-ch-w,ʾḫw,ءخو
z-j-r,zjr,زير
d-ch-l,dḫl,دخل
H-q-q,ḥqq,حقق
dž-l-s,ǧls,جلس
th-m-m,ṯmm,ثمم
f-h-r-s,fhrs,فهرس
q-n-n,qnn,قنن
b-H-th,bḥṯ,بحث
n-d-w,ndw,ندو
n-h-j,nhj,نهي
r-H-b,rḥb,رحب
b-r-n-m-dž,brnmǧ,برنمج
H-r-b,ḥrb,حرب
3-D-w,ʿḍw,عضو
3-d-w,ʿdw,عدو
d-3-m,dʿm,دعم
n-S-f,nṣf,نصف
n-j-l,njl,نيل
r-h-n,rhn,رهن
r-j-D,rjḍ,ريض
dž-n-H,ǧnḥ,جنح
3-r-D,ʿrḍ,عرض
q-T-r,qṭr,قطر
q-3-d,qʿd,قعد
f-q-d,fqd,فقد
H-w-dž,ḥwǧ,حوج
k-r-s,krs,كرس
m-'-d,mʾd,مءد
b-r-d,brd,برد
f-n-n,fnn,فنن
m-H-n,mḥn,محن
f-w-r,fwr,فور
H-j-dž,ḥjǧ,حيج
m-3-d,mʿd,معد
th-l-dž,ṯlǧ,ثلج
r-S-f,rṣf,رصف
b-r-z,brz,برز
S-3-d,ṣʿd,صعد
3-dž-l,ʿǧl,عجل
m-H-l,mḥl,محل
d-w-j,dwj,دوي
q-r-j,qrj,قري
s-b-b,sbb,سبب
3-j-d,ʿjd,عيد
m-s-H,msḥ,مسح
n-dž-H,nǧḥ,نجح
k-l-l,kll,كلل
b-3-D,bʿḍ,بعض
n-f-s,nfs,نفس
3-d-d,ʿdd,عدد
'-b-d,ʾbd,ءبد
'-dž-l,ʾǧl,ءجل
'-k-d,ʾkd,ءكد
b-r-k,brk,برك
t-3-b,tʿb,تعب
dž-w-w,ǧww,جوو
H-S-d,ḥṣd,حصد
H-f-d,ḥfd,حفد
H-l-q,ḥlq,حلق
H-j-n,ḥjn,حين
ch-b-z,ḫbz,خبز
ch-r-f,ḫrf,خرف
ch-D-r,ḫḍr,خضر
ch-l-dž,ḫlǧ,خلج
r-ch-S,rḫṣ,رخص
r-š-d,ršd,رشد
r-w-H,rwḥ,روح
s-ch-n,sḫn,سخن
s-b-H,sbḥ,سبح
s-r-H,srḥ,سرح
s-k-n,skn,سكن
cizí,,
š-m-l,šml,شمل
š-h-d,šhd,شهد
T-b-ch,ṭbḫ,طبخ
3-'-l,ʿʾl,عءل
gh-j-b,ġjb,غيب
f-k-h,fkh,فكه
k-th-r,kṯr,كثر
k-r-r,krr,كرر
k-š-k,kšk,كشك
l-H-q,lḥq,لحق
m-r-r,mrr,مرر
n-b-j,nbj,نبي
w-s-m,wsm,وسم
T-f-l,ṭfl,طفل
k-t-b,ktb,كتب
dž-d-d,ǧdd,جدد
D-w-H,ḍwḥ,ضوح
n-b-t,nbt,نبت
D-H-k,ḍḥk,ضحك
dh-q-n,ḏqn,ذقن
'-s-T-r,ʾsṭr,ءسطر
r-s-m,rsm,رسم
b-T-l,bṭl,بطل
z-h-r,zhr,زهر
d-r-dž,drǧ,درج
dž-w-r,ǧwr,جور
š-t-',štʾ,شتء
h-b-T,hbṭ,هبط
s-q-T,sqṭ,سقط
q-r-n,qrn,قرن
'-s-r,ʾsr,ءسر
m-w-h,mwh,موه
w-D-H,wḍḥ,وضح
dž-r-j,ǧrj,جري
n-w-r,nwr,نور
'-m-r,ʾmr,ءمر
r-j-f,rjf,ريف
f-l-H,flḥ,فلح
H-m-l,ḥml,حمل
w-dž-3,wǧʿ,وجع
š-j-',šjʾ,شيء
w-th-q,wṯq,وثق
m-š-j,mšj,مشي
r-b-3,rbʿ,ربع
S-j-f,ṣjf,صيف
l-3-b,lʿb,لعب
H-d-d,ḥdd,حدد
3-T-l,ʿṭl,عطل
š-ch-S,šḫṣ,شخص
r-s-l,rsl,رسل
š-b-k,šbk,شبك
th-m-n,ṯmn,ثمن
t-m-m,tmm,تمم
k-l-b,klb,كلب
dh,,
ch-d-m,ḫdm,خدم
3-w-n,ʿwn,عون
'-s-T-l,ʾsṭl,ءسطل
t-l-q,tlq,تلق
m-H-T,mḥṭ,محط
n-t-dž,ntǧ,نتج
s-f-n,sfn,سفن
z-w-dž,zwǧ,زوج
b-H-r,bḥr,بحر
š-j-q,šjq,شيق
q-m-r,qmr,قمر
n-q-b,nqb,نقب
m-w-dž,mwǧ,موج
'-r-D,ʾrḍ,ءرض
'-dž-r,ʾǧr,ءجر
d-w-n,dwn,دون
'-š-r,ʾšr,ءشر
f-D-l,fḍl,فضل
toponymum,,
b-r-dž,brǧ,برج
dž-w-z,ǧwz,جوز
H-f-Z,ḥfẓ,حفظ
H-l-m,ḥlm,حلم
š-r-3,šrʿ,شرع
š-r-k,šrk,شرك
š-m-s,šms,شمس
3-b-r,ʿbr,عبر
gh-j-r,ġjr,غير
f-q-T,fqṭ,فقط
k-w-n,kwn,كون
l-z-m,lzm,لزم
m-l-k,mlk,ملك
r-b-j,rbj,ربي
dž-'-z,ǧʾz,جءز
l-dž-',lǧʾ,لجء
n-ch-b,nḫb,نخب
H-z-b,ḥzb,حزب
ch-n-z-r,ḫnzr,خنزر
f-S-l,fṣl,فصل
t-H-f,tḥf,تحف
S-r-H,ṣrḥ,صرح
n-h-z,nhz,نهز
w-T-n,wṭn,وطن
'-S-l,ʾṣl,ءصل
dž-m-s,ǧms,جمس
S-d-q,ṣdq,صدق
H-s-n,ḥsn,حسن
S-h-r,ṣhr,صهر
f-q-r,fqr,فقر
m-th-l,mṯl,مثل
'-m-m,ʾmm,ءمم
'-b,ʾb,ءب
b-n-t,bnt,بنت
b-n,bn,بن
'-ch,ʾḫ,ءخ
'-ch-t,ʾḫt,ءخت
ch-w-l,ḫwl,خول
ch-j-l,ḫjl,خيل
H-m-w,ḥmw,حمو
m-w-t,mwt,موت
b-q-j,bqj,بقي
q-d-r,qdr,قدر
q-w-d,qwd,قود
b-d-w,bdw,بدو
'-l-m,ʾlm,ءلم
q-l-3,qlʿ,قلع
k-š-f,kšf,كشف
f-3-l,fʿl,فعل
w-q-f,wqf,وقف
q-l-b,qlb,قلب
T-l-q,ṭlq,طلق
h-n-',hnʾ,هنء
3-T-j,ʿṭj,عطي
3-l-n,ʿln,علن
s-l-m,slm,سلم
ch-z-n,ḫzn,خزن
b-T-q,bṭq,بطق
b-l-gh,blġ,بلغ
t-l-j,tlj,تلي
th-w-r,ṯwr,ثور
H-dž-m,ḥǧm,حجم
H-q-l,ḥql,حقل
H-l-l,ḥll,حلل
H-l-f,ḥlf,حلف
H-w-T,ḥwṭ,حوط
d-r-b,drb,درب
d-q-q,dqq,دقق
r-t-b,rtb,رتب
r-S-d,rṣd,رصد
z-j-d,zjd,زيد
s-b-q,sbq,سبق
S-f-H,ṣfḥ,صفح
S-n-d-q,ṣndq,صندق
T-n-n,ṭnn,طنن
3-d-l,ʿdl,عدل
3-q-d,ʿqd,عقد
3-m-l-q,ʿmlq,عملق
gh-l-l,ġll,غلل
f-r-3,frʿ,فرع
f-D-D,fḍḍ,فضض
f-w-q,fwq,فوق
q-S-w,qṣw,قصو
q-w-w,qww,قوو
k-3-b,kʿb,كعب
l-f-t,lft,لفت
n-H-w,nḥw,نحو
n-s-ch,nsḫ,نسخ
n-s-m,nsm,نسم
n-w-b,nwb,نوب
m-r-D,mrḍ,مرض
3-z-m,ʿzm,عزم
H-dž-b,ḥǧb,حجب
b-r-q-3,brqʿ,برقع
T-b-r,ṭbr,طبر
f-r-d,frd,فرد
dž-r-d,ǧrd,جرد
S-f-f,ṣff,صفف
3-n-w-n,ʿnwn,عنون
q-h-j,qhj,قهي
'-j-n,ʾjn,ءين
s-r-j,srj,سري
k-n-s,kns,كنس
r-H-l,rḥl,رحل
n-dž-m,nǧm,نجم
s-d-s,sds,سدس
b-j-t,bjt,بيت
s-w-q,swq,سوق
gh-d-j,ġdj,غدي
3-š-j,ʿšj,عشي
s-H-b,sḥb,سحب
3-š-',ʿšʾ,عشء
q-r-b,qrb,قرب
b-š-r,bšr,بشر
ch-f-D,ḫfḍ,خفض
r-f-3,rfʿ,رفع
s-3-r,sʿr,سعر
gh-dh-',ġḏʾ,غذء
dž-l-d,ǧld,جلد
gh-s-l,ġsl,غسل
h-t-f,htf,هتف
q-w-b,qwb,قوب
s-m-r,smr,سمر
z-r-q,zrq,زرق
S-f-r,ṣfr,صفر
s-w-d,swd,سود
b-j-D,bjḍ,بيض
FA,,
b-n-n,bnn,بنن
r-m-d,rmd,رمد
w-r-d,wrd,ورد
q-S-d,qṣd,قصد
H-S-l,ḥṣl,حصل
r-k-z,rkz,ركز
s-j-T-r,sjṭr,سيطر
S-b-H,ṣbḥ,صبح
l-dž-n,lǧn,لجن
h-d-f,hdf,هدف
dž-z-r,ǧzr,جزر
dž-m-h-r,ǧmhr,جمهر
w-l-j,wlj,ولي
d-m-r,dmr,دمر
D-f-f,ḍff,ضفف
H-s-b,ḥsb,حسب
'-m-l,ʾml,ءمل
b-d-r,bdr,بدر
dž-z-',ǧzʾ,جزء
dž-j-l,ǧjl,جيل
ch-T-w,ḫṭw,خطو
d-n-w,dnw,دنو
d-w-m,dwm,دوم
'-r-j,ʾrj,ءري
r-dž-w,rǧw,رجو
r-m-m,rmm,رمم
r-m-j,rmj,رمي
s-d-d,sdd,سدد
s-l-s-l,slsl,سلسل
s-l-3,slʿ,سلع
s-h-m,shm,سهم
s-w-m,swm,سوم
š-dž-3,šǧʿ,شجع
š-k-k,škk,شكك
š-j-d,šjd,شيد
S-l-H,ṣlḥ,صلح
m-j-z,mjz,ميز
D-r-r,ḍrr,ضرر
T-b-q,ṭbq,طبق
T-r-q,ṭrq,طرق
T-w-r,ṭwr,طور
T-j-b,ṭjb,طيب
3-z-z,ʿzz,عزز
3-j-n,ʿjn,عين
gh-d-',ġdʾ,غدء
f-d-n,fdn,فدن
f-r-D,frḍ,فرض
q-l-m,qlm,قلم
k-r-m,krm,كرم
k-l-f,klf,كلف
k-l-m,klm,كلم
n-z-3,nzʿ,نزع
n-D-l,nḍl,نضل
n-q-š,nqš,نقش
